DELIVERY_DATE,DELIVERY_HOUR,INTERVAL,ENGY
2015/1/2,24,8,25.24
2015/1/2,24,9,19.98
2015/1/2,24,10,19.97
2015/1/2,24,11,18.06
2015/1/2,24,12,14.32
2015/1/3,1,1,32.28
2015/1/3,1,2,32.28
2015/1/3,1,3,32.18
2015/1/3,1,4,24.02
2015/1/3,1,5,19.97
2015/1/3,1,6,19.42
2015/1/3,1,7,14.35
2015/1/3,1,8,14.34
2015/1/3,1,9,14.33
2015/1/3,1,10,14.3
2015/1/3,1,11,14.29
2015/1/3,1,12,14.29
2015/1/3,2,1,24.89
2015/1/3,2,2,19.42
2015/1/3,2,3,14.63
2015/1/3,2,4,14.63
2015/1/3,2,5,14.35
2015/1/3,2,6,14.33
2015/1/3,2,7,14.33
2015/1/3,2,8,14.31
2015/1/3,2,9,14.29
2015/1/3,2,10,14.3
2015/1/3,2,11,14.23
2015/1/3,2,12,14.23
2015/1/3,3,1,14.23
2015/1/3,3,2,14.23
2015/1/3,3,3,14.22
2015/1/3,3,4,14.19
2015/1/3,3,5,14.19
2015/1/3,3,6,13.19
2015/1/3,3,7,12.62
2015/1/3,3,8,12.5
2015/1/3,3,9,13.04
2015/1/3,3,10,12.5
2015/1/3,3,11,13.04
2015/1/3,3,12,12.5
2015/1/3,4,1,14.19
2015/1/3,4,2,13.14
2015/1/3,4,3,14.18
2015/1/3,4,4,13.04
2015/1/3,4,5,13.04
2015/1/3,4,6,13.04
2015/1/3,4,7,6.99
2015/1/3,4,8,5.67
2015/1/3,4,9,6.99
2015/1/3,4,10,6.99
2015/1/3,4,11,13.04
2015/1/3,4,12,13.04
2015/1/3,5,1,12.26
2015/1/3,5,2,12.26
2015/1/3,5,3,11.75
2015/1/3,5,4,5.67
2015/1/3,5,5,5.53
2015/1/3,5,6,5.53
2015/1/3,5,7,11.75
2015/1/3,5,8,12.06
2015/1/3,5,9,12.33
2015/1/3,5,10,12.62
2015/1/3,5,11,13.04
2015/1/3,5,12,14.19
2015/1/3,6,1,13.19
2015/1/3,6,2,13.19
2015/1/3,6,3,13.19
2015/1/3,6,4,13.04
2015/1/3,6,5,13.04
2015/1/3,6,6,13.19
2015/1/3,6,7,14.19
2015/1/3,6,8,14.19
2015/1/3,6,9,14.2
2015/1/3,6,10,14.2
2015/1/3,6,11,14.21
2015/1/3,6,12,14.21
2015/1/3,7,1,14.22
2015/1/3,7,2,14.22
